ID,Age,Employment,Education,Marital,Occupation,Income,Gender,Deductions,Hours,IGNORE_Accounts,RISK_Adjustment,TARGET_Adjusted,Time,Amount,Class
1158519,45,Private,Vocational,Married,Repair,26717.49,Male,0,40,UnitedStates,0,0,15817,11.39,1
1169595,40,PSFederal,Associate,Absent,Clerical,99748.58,Female,0,40,UnitedStates,0,0,17187,3.79,1
1172381,51,SelfEmp,Doctorate,Married,Professional,13612.07,Male,0,40,UnitedStates,15024,1,17220,3.79,1
1172752,77,Private,HSgrad,Married,Service,39950.92,Male,0,25,Cuba,0,0,17230,3.93,1
1177328,35,Private,College,Married,Support,44130.45,Male,0,45,UnitedStates,0,0,17520,1,1
1178076,39,Private,Yr9,Divorced,Cleaner,78516.3,Male,0,50,UnitedStates,0,0,17838,766.36,1
1197102,39,PSState,Bachelor,Absent,Executive,92268.68,Female,0,40,UnitedStates,0,0,18088,1218.89,1
1199127,63,SelfEmp,Bachelor,Married,Farming,9092.19,Male,0,40,UnitedStates,12467,1,18399,1,1
1205484,64,Private,HSgrad,Widowed,Service,148865.82,Female,0,38,UnitedStates,0,0,18675,188.78,1
1210411,39,Private,Bachelor,Married,Professional,21190.02,Male,0,40,UnitedStates,3611,1,18690,1,1
1211118,66,Private,Yr5t6,Married-spouse-absent,Cleaner,139087.01,Female,0,40,Malaysia,0,0,19762,1,1
1212771,18,Unemployed,Yr11,Absent,NA,148836.93,Female,0,10,UnitedStates,0,0,20011,1,1
1216471,42,PSLocal,College,Married,Executive,48422.28,Male,0,45,UnitedStates,3187,1,20332,1,1
1218427,31,PSLocal,College,Absent,Clerical,67012.13,Female,0,40,UnitedStates,0,0,20451,1,1
1222601,31,Private,Bachelor,Married,Executive,6333,Male,2246,45,UnitedStates,7582,1,20931,1,1
1226867,45,Private,Professional,Absent,Professional,44102.23,Male,0,40,UnitedStates,5222,1,21046,1,1
1230404,19,PSLocal,College,Absent,Service,97937.09,Female,0,35,UnitedStates,0,0,21419,1,1
1233450,32,Private,HSgrad,Married,Machinist,14657.59,Male,0,40,UnitedStates,0,0,21662,1,1
1254408,27,Private,Bachelor,Absent,Professional,89775.14,Male,0,40,UnitedStates,13550,1,25095,3.12,1
1258702,25,Private,HSgrad,Married,Transport,56417.35,Male,0,30,UnitedStates,0,0,25198,99.99,1
1259473,21,Private,College,Absent,Clerical,43362.93,Male,0,65,UnitedStates,0,0,25231,99.99,1
1264690,33,Consultant,HSgrad,Absent,Farming,214238.62,Male,0,70,UnitedStates,0,0,25254,99.99,1
1264939,43,NA,HSgrad,Absent,NA,61192.65,Female,0,40,UnitedStates,0,0,25426,3.76,1
1267022,31,Private,Bachelor,Absent,Executive,83143.19,Male,1160.666667,38,UnitedStates,0,0,26523,99.99,1
1272722,56,PSFederal,Bachelor,Divorced,Clerical,37078.8,Male,0,40,UnitedStates,0,0,26556,99.99,1
1273089,62,Volunteer,Associate,Married,Farming,51230.5,Male,0,50,UnitedStates,0,0,26585,99.99,1
1276387,28,Private,Associate,Absent,Transport,166953.87,Male,0,60,UnitedStates,0,0,26833,99.99,1
1276913,39,Private,HSgrad,Married,Executive,28907.41,Male,0,40,UnitedStates,0,0,26863,99.99,1
1282955,61,PSLocal,Master,Absent,Professional,5138.14,Female,0,25,UnitedStates,0,0,26899,99.99,1
1287816,32,Private,HSgrad,Absent,Sales,82182.54,Female,0,50,UnitedStates,0,0,26931,99.99,1
1288612,48,PSState,Bachelor,Married,Executive,45239,Male,0,40,UnitedStates,12988,1,26961,99.99,1
1288870,27,Private,HSgrad,Married,Farming,25990.54,Male,0,40,UnitedStates,0,0,27163,99.99,1
1292427,20,Private,Yr9,Absent,Transport,104396.02,Male,0,50,UnitedStates,0,0,27187,99.99,1
1293079,37,Private,HSgrad,Absent,Machinist,83414.55,Male,0,40,UnitedStates,0,0,27219,99.99,1
1298943,43,Private,College,Married,Repair,32684.53,Male,0,38,UnitedStates,0,0,27252,99.99,1
1301028,47,Consultant,HSgrad,Married,Machinist,61231.06,Male,0,40,UnitedStates,7298,1,27784,23.36,1
1310818,33,Private,Yr11,Absent,Service,32550.53,Male,0,40,UnitedStates,0,0,28143,99.99,1
1312365,64,Private,HSgrad,Married,Machinist,61592.42,Male,0,40,UnitedStates,0,0,28242,730.86,1
1312435,44,Private,Bachelor,Married,Sales,37662.02,Male,0,50,UnitedStates,7688,1,28625,99.99,1
1314358,23,Private,College,Absent,Service,100335.51,Female,0,35,UnitedStates,0,0,28658,99.99,1
1315432,22,Private,HSgrad,Absent,Service,342939.73,Female,0,35,UnitedStates,0,0,28692,99.99,1
1318398,49,PSLocal,Master,Married,Executive,30098.58,Male,0,50,UnitedStates,5239,1,28726,99.99,1
1322745,28,PSFederal,HSgrad,Absent,Executive,150516.9,Female,0,70,Malaysia,0,0,28755,99.99,1
1325704,36,Private,HSgrad,Divorced,Transport,43380.64,Male,0,50,UnitedStates,0,0,29526,0.68,1
1347511,22,Private,Bachelor,Absent,Professional,24584.08,Female,0,15,Germany,0,0,29531,0.68,1
1365727,29,Private,Vocational,Married,Transport,25402.11,Male,0,55,UnitedStates,0,0,29753,0.68,1
1367013,26,Private,College,Absent,Support,151462.25,Male,0,20,UnitedStates,0,0,29785,30.3,1
1367887,44,Private,Bachelor,Married,Executive,29461.26,Male,0,40,UnitedStates,10198,1,30852,104.81,1
1382647,26,Private,Associate,Absent,Clerical,38142.98,Female,0,8,UnitedStates,0,0,32686,0,1
1383516,28,Private,Bachelor,Absent,Executive,76539.28,Female,0,60,UnitedStates,0,0,32745,717.15,1
1391108,19,Private,Yr11,Absent,Sales,71627.78,Female,0,25,UnitedStates,0,0,34256,19.02,1
1394083,45,Consultant,HSgrad,Married,Sales,38599.89,Male,0,50,Vietnam,4375,1,34521,1.52,1
1398239,35,Private,College,Divorced,Sales,9034.01,Female,0,35,UnitedStates,0,0,34634,18.96,1
1398832,42,Private,Vocational,Married,Service,22787.48,Male,0,30,UnitedStates,0,0,34684,125.3,1
1400557,58,PSState,Doctorate,Married,Professional,33252.79,Male,0,40,India,0,0,34687,19.02,1
1401108,55,Private,College,Married,Repair,39087.51,Male,0,40,UnitedStates,0,0,35585,0.76,1
1434262,25,Private,HSgrad,Absent,Repair,174812.5,Male,0,28,UnitedStates,0,0,35771,60.6,1
1440111,78,SelfEmp,Bachelor,Married,Executive,39472.73,Male,0,45,UnitedStates,9386,1,35866,7.61,1
1454004,53,PSLocal,HSgrad,Married,Executive,56065.12,Male,0,60,UnitedStates,0,0,35899,1,1
1455874,34,Private,Vocational,Married,Executive,35910.03,Male,0,40,UnitedStates,0,0,35906,9.13,1
1457685,28,Private,College,Married,Sales,37249.5,Male,0,40,UnitedStates,0,0,35926,4.56,1
1467638,50,Private,HSgrad,Married,Sales,47011.78,Male,0,48,UnitedStates,0,0,35942,14.46,1
1467797,47,Consultant,College,Married,Clerical,203798.03,Female,0,35,UnitedStates,4779,1,35953,111.7,1
1471496,61,SelfEmp,Master,Widowed,Executive,92158.43,Female,0,99,UnitedStates,0,0,36170,111.7,1
1472475,45,Consultant,Professional,Absent,Professional,91088.9,Male,0,30,UnitedStates,0,1,37167,12.31,1
1474194,33,Private,HSgrad,Married,Repair,34078.48,Male,0,40,UnitedStates,0,0,39729,776.83,1
1474221,39,Private,Bachelor,Married,Support,27397.18,Male,0,50,UnitedStates,1002,1,40086,1,1
1488053,60,Private,College,Divorced,Repair,86618.25,Male,0,44,UnitedStates,7510,1,40276,1,1
1493406,43,Private,College,Married,Professional,27604.3,Male,0,40,UnitedStates,0,0,40662,1,1
1495310,35,Private,HSgrad,Absent,Clerical,60272.71,Male,0,40,UnitedStates,8614,1,40742,1,1
1495484,22,Private,Yr10,Absent,Transport,54640.91,Male,0,84,UnitedStates,0,0,40892,0.76,1
1502038,63,Private,College,Married,Repair,32562.24,Male,0,45,UnitedStates,0,0,40918,0.76,1
1502111,64,Private,College,Widowed,Executive,73525.6,Female,0,3,UnitedStates,0,0,40919,112.33,1
1505676,54,Private,HSgrad,Married,Machinist,27254.75,Male,0,45,UnitedStates,1650,1,41116,3.79,1
1509085,57,Private,HSgrad,Widowed,Clerical,81343.45,Female,0,40,UnitedStates,0,0,41138,340.11,1
1515465,45,Private,College,Divorced,Support,125370.21,Female,0,40,Indonesia,0,0,41147,88.23,1
1518173,33,Private,Bachelor,Married,Executive,129091.19,Female,0,40,UnitedStates,4195,1,41164,5.3,1
1524841,25,Private,HSgrad,Absent,Sales,177873.59,Male,0,40,UnitedStates,0,0,41170,83.38,1
1530194,29,Private,Vocational,Absent,Repair,64358.33,Male,0,50,UnitedStates,0,0,41181,11.38,1
1531306,46,Private,HSgrad,Married,Executive,41442.67,Male,0,40,UnitedStates,12334,1,41194,1.52,1
1534678,46,Private,Associate,Absent,Professional,80318.75,Female,0,33,UnitedStates,0,0,41203,88.23,1
1541756,22,Private,HSgrad,Absent,Service,70541.91,Female,0,35,UnitedStates,0,0,41204,30.26,1
1545759,36,Private,HSgrad,Married,Repair,37634.41,Male,1887,60,UnitedStates,4604,1,41227,459.07,1
1545762,30,Private,College,Married,Machinist,53662.74,Male,0,40,UnitedStates,9972,1,41233,0,1
1548067,28,Private,HSgrad,Absent,Cleaner,156434.13,Male,0,30,UnitedStates,0,0,41237,118.3,1
1548224,21,PSState,College,Absent,Service,19720.37,Female,0,10,UnitedStates,0,0,41243,45.49,1
1551622,63,Consultant,College,Married,Machinist,17461.25,Male,0,35,UnitedStates,6248,1,41273,173.07,1
1557461,32,Private,Yr10,Absent,Repair,103733.33,Male,0,50,UnitedStates,0,0,41285,37.32,1
1579205,32,PSLocal,Bachelor,Married,Professional,163587.6,Female,0,35,UnitedStates,0,1,41305,59.68,1
1585271,22,Private,Yr10,Absent,Clerical,94412.83,Female,0,40,UnitedStates,0,0,41308,0.76,1
1588605,22,Private,College,Absent,Cleaner,223592.88,Male,0,35,UnitedStates,0,0,41313,9.99,1
1597428,40,Private,HSgrad,Married,Professional,49546.92,Male,1902,40,UnitedStates,0,1,41353,34.12,1
1598679,31,Private,College,Married,Clerical,22086.63,Male,0,40,UnitedStates,0,0,41397,273.01,1
1600316,33,Private,Associate,Married-spouse-absent,Machinist,198418.74,Male,0,40,UnitedStates,0,0,41413,106.55,1
1608800,23,Private,College,Divorced,Sales,115237.91,Female,0,40,UnitedStates,0,0,41505,364.19,1
1611099,59,Consultant,Bachelor,Widowed,Professional,126304,Female,0,50,UnitedStates,1864,1,41582,39.45,1
1612385,35,Private,Bachelor,Married,Executive,64517.85,Male,0,50,UnitedStates,7688,1,41607,53.95,1
1624617,39,Private,HSgrad,Married,Clerical,263252.35,Female,0,25,UnitedStates,0,0,41646,172.32,1
1637260,40,Consultant,Bachelor,Married,Repair,34674.28,Male,0,50,UnitedStates,0,0,41743,802.52,1
1639863,23,Private,HSgrad,Absent,Repair,50797.42,Male,0,40,UnitedStates,0,0,41791,99.99,1
1641472,45,Private,HSgrad,Absent,Machinist,123634.05,Male,0,40,UnitedStates,0,0,41851,139.9,1
1641476,17,Private,Yr9,Absent,Sales,130301.1,Male,0,22,UnitedStates,0,0,41870,1,1
1647650,59,Private,HSgrad,Widowed,Service,53968.46,Female,0,10,UnitedStates,0,0,41991,1,1
1648985,37,Private,College,Divorced,Transport,66341.59,Male,0,40,UnitedStates,0,0,42247,1,1
1654599,27,Private,HSgrad,Married,Machinist,13567.01,Male,0,40,UnitedStates,0,0,42474,1,1
1667037,82,Private,Yr5t6,Widowed,Service,252435.63,Male,0,20,UnitedStates,0,0,42985,1,1
1670669,30,Private,HSgrad,Married,Machinist,35880.85,Male,0,60,Ireland,1681,1,42988,648,1
1679323,23,Private,Bachelor,Absent,Executive,106057.24,Male,0,30,NA,0,0,43028,204.27,1
1681753,30,Private,HSgrad,Married,Cleaner,50241.5,Male,0,40,UnitedStates,0,0,43369,88,1
1688602,43,Private,College,Divorced,Executive,175224.4,Female,0,45,Iran,0,0,43494,24.9,1
1690774,33,Private,Bachelor,Married,Professional,9371.51,Male,0,40,UnitedStates,0,0,44393,1,1
1699810,28,Private,HSgrad,Married,Transport,35189.05,Male,0,55,UnitedStates,0,0,44532,1,1
1706370,37,Private,Yr5t6,Absent,Clerical,98176.24,Female,0,40,Mexico,0,0,45463,1,1
1709319,39,Private,Bachelor,Married,Executive,22030.33,Male,0,45,UnitedStates,0,0,45501,105.99,1
1711915,62,PSState,Bachelor,Divorced,Professional,77664.69,Male,0,40,UnitedStates,0,0,45541,1,1
1718282,41,Private,Bachelor,Married,Professional,18754.25,Male,0,40,UnitedStates,-961,1,46057,1,1
1718309,44,PSLocal,Bachelor,Divorced,Professional,243076.64,Female,0,60,UnitedStates,0,0,46149,1,1
1722201,43,Private,HSgrad,Divorced,Clerical,43002.61,Female,0,40,UnitedStates,0,0,46925,1,1
1722542,29,Private,College,Absent,Professional,88981.36,Female,0,40,UnitedStates,0,0,47545,0.76,1
1723024,42,Private,Bachelor,Married,Executive,66952.28,Male,0,40,UnitedStates,0,0,47826,7.58,1
1731662,40,Private,HSgrad,Married,Repair,144187.19,Female,0,40,UnitedStates,7298,1,47923,0.76,1
1742535,29,PSFederal,College,Married,Clerical,54390.65,Male,0,40,UnitedStates,5298,1,47982,0.76,1
1747347,55,PSFederal,College,Married,Clerical,45804.12,Male,0,40,UnitedStates,2889,1,48380,208.58,1
1761439,45,PSLocal,Master,Divorced,Professional,133907.33,Female,0,40,UnitedStates,0,0,48533,1,1
1767024,30,Private,HSgrad,Married,Executive,56622.85,Male,0,50,UnitedStates,0,0,48884,19.73,1
1770057,34,Private,HSgrad,Married,Executive,4524.86,Male,0,40,UnitedStates,0,1,49985,360,1
1777740,46,Private,HSgrad,Married,Sales,32944.03,Male,0,45,UnitedStates,3875,1,50706,99.99,1
1782051,54,PSState,Doctorate,Absent,Executive,71715.5,Female,0,50,UnitedStates,7879,1,50808,99.99,1
1782989,19,Private,College,Absent,Sales,93070,Female,0,30,UnitedStates,0,0,51112,99.99,1
1787841,37,Private,Master,Married,Support,30353.77,Male,0,60,UnitedStates,5627,1,51135,99.99,1
1792615,61,Private,Yr7t8,Divorced,Machinist,184682.08,Female,0,40,UnitedStates,0,0,51155,99.99,1
1796280,50,Private,HSgrad,Married,Repair,16026.5,Male,0,40,UnitedStates,0,0,52814,519.9,1
1797150,70,Private,Bachelor,Married,Cleaner,72715.96,Male,0,40,UnitedStates,6418,1,52934,0.76,1
1797445,51,Private,HSgrad,Unmarried,Machinist,70442.44,Male,1250.666667,40,UnitedStates,0,0,53031,0.76,1
1807406,56,Private,Yr7t8,Married,Repair,49237.33,Male,0,26,UnitedStates,0,0,53076,1.18,1
1808117,18,Private,Yr12,Absent,Service,52489.11,Female,0,25,UnitedStates,0,0,53451,8,1
1819322,21,Private,Vocational,Absent,Farming,82725.18,Female,1068,30,UnitedStates,0,0,53658,0,1
1823237,65,Private,HSgrad,Widowed,Clerical,115548.72,Female,0,20,UnitedStates,0,0,53727,112.45,1
1824560,24,Private,College,Absent,Service,113979.53,Female,0,35,UnitedStates,0,0,53937,261.87,1
1827120,35,SelfEmp,Bachelor,Unmarried,Professional,42736.77,Female,0,50,UnitedStates,0,0,54846,1.79,1
1833635,32,Private,College,Absent,Repair,96488.54,Male,0,72,Mexico,0,0,55279,1,1
1834675,42,Private,Bachelor,Married-spouse-absent,Transport,97187.73,Male,0,60,UnitedStates,0,0,55311,0.83,1
1838203,34,Private,Bachelor,Married,Executive,35573.04,Male,1977,45,UnitedStates,4033,1,55614,0.83,1
1839135,53,Private,HSgrad,Married,Executive,30301.98,Male,0,60,UnitedStates,2890,1,55618,130.44,1
1841487,30,Private,Vocational,Married,Clerical,21551.74,Female,0,24,UnitedStates,0,0,55760,311.91,1
1845737,28,Private,HSgrad,Divorced,Cleaner,73730.39,Male,0,40,UnitedStates,0,0,56098,170.92,1
1851537,36,Private,HSgrad,Absent,Executive,22529.54,Female,0,38,UnitedStates,0,0,56624,153.46,1
1860764,44,Consultant,HSgrad,Married,Repair,45104.93,Male,0,50,England,7298,1,56650,7.52,1
1861969,34,Private,Professional,Absent,Professional,70635.85,Female,0,40,UnitedStates,0,0,56806,1,1
1866077,52,Private,HSgrad,Divorced,Repair,2382.43,Male,0,40,UnitedStates,0,0,56887,5,1
1872825,36,Private,Yr10,Married,Machinist,34268.18,Male,0,40,UnitedStates,0,0,57007,0.01,1
1875875,32,PSFederal,HSgrad,Absent,Service,112250.05,Female,0,32,UnitedStates,0,0,57027,444.17,1
1877898,73,SelfEmp,Bachelor,Married,Sales,20608.32,Male,0,50,UnitedStates,1639,1,57163,1,1
1880936,54,PSLocal,Master,Divorced,Professional,95784.2,Female,0,40,UnitedStates,0,0,58060,1,1
1892697,22,PSLocal,College,Absent,Clerical,72111.64,Female,0,55,UnitedStates,0,0,58067,1,1
1906994,45,Private,HSgrad,Married,Repair,37605.81,Male,0,40,UnitedStates,0,0,58199,1.75,1
1940825,34,Private,HSgrad,Absent,Machinist,110412.9,Male,0,40,UnitedStates,0,0,58217,5.09,1
1943338,53,PSLocal,Preschool,Absent,Machinist,123739.96,Female,0,35,UnitedStates,0,0,58222,270,1
1947669,30,Private,HSgrad,Married,Machinist,28988.26,Male,0,40,UnitedStates,0,0,58642,113.92,1
1950125,40,PSLocal,Bachelor,Divorced,Professional,296284.55,Female,0,40,UnitedStates,0,0,58822,45.64,1
1956654,25,Private,HSgrad,Absent,Executive,74001.2,Male,0,45,UnitedStates,0,0,59011,1389.56,1
1965508,60,SelfEmp,HSgrad,Married,Clerical,235662.8,Female,0,15,UnitedStates,15024,1,59385,18.98,1
1967691,38,Private,Yr10,Divorced,Machinist,68357.88,Female,0,40,Portugal,0,0,59669,6.27,1
1970671,23,Private,College,Absent,Sales,48397.69,Male,0,25,Philippines,0,0,59777,319.2,1
1972687,31,Private,College,Married,Repair,37051.71,Male,0,40,UnitedStates,4940,1,59840,5.91,1
1976104,23,Private,College,Married,Cleaner,47123.24,Male,0,40,UnitedStates,0,0,60353,454.82,1
1980500,74,Consultant,Doctorate,Married-spouse-absent,Professional,40643.16,Male,0,25,UnitedStates,5911,1,61108,101.5,1
1983846,19,Private,HSgrad,Absent,Service,20263.3,Female,0,30,UnitedStates,0,0,61646,19.04,1
1985107,39,Private,Bachelor,Absent,Executive,57245.29,Male,0,45,UnitedStates,0,0,62059,6.62,1
1985953,29,Private,College,Absent,Sales,113713.14,Male,0,30,UnitedStates,0,0,62080,180,1
1992467,43,Private,Master,Married,Executive,26718.94,Male,0,50,UnitedStates,4954,1,62330,1,1
1995711,26,PSLocal,Bachelor,Absent,Professional,80090.43,Female,0,40,UnitedStates,0,0,62341,1.1,1
1996140,19,Private,Yr11,Absent,Repair,71065.53,Male,0,56,UnitedStates,0,0,62467,1402.16,1
1997523,40,SelfEmp,Bachelor,Married,Professional,30140.84,Male,0,60,UnitedStates,0,0,63578,290.18,1
2000211,57,Private,HSgrad,Widowed,Clerical,55758.54,Female,0,36,UnitedStates,0,0,64093,294.9,1
2011832,40,Private,HSgrad,Divorced,Repair,63728.57,Male,0,40,UnitedStates,0,0,64412,1,1
2012035,29,Private,College,Married,Cleaner,32079.84,Male,0,20,UnitedStates,0,0,64443,0,1
2016936,36,PSFederal,HSgrad,Absent,Clerical,154637.16,Female,0,36,UnitedStates,0,0,64585,0,1
2023005,57,SelfEmp,College,Married,Executive,3392.03,Male,0,40,UnitedStates,0,0,64785,720.38,1
2025734,19,Private,College,Absent,Cleaner,78338.21,Male,0,20,UnitedStates,0,0,65358,31.91,1
2027200,20,Private,Yr12,Absent,Machinist,177097.76,Male,0,40,UnitedStates,0,0,65385,1354.25,1
2027449,48,Private,HSgrad,Widowed,Machinist,116242.34,Female,0,16,UnitedStates,0,0,65728,98.01,1
2033495,18,Private,HSgrad,Absent,Service,76092.27,Male,0,36,UnitedStates,0,0,65936,101.5,1
2042579,50,Private,College,Married,Sales,33450.41,Male,0,60,UnitedStates,0,0,66037,7.53,1
2044175,72,NA,HSgrad,Married,NA,15651.39,Male,0,8,UnitedStates,0,0,67150,489.71,1
2049462,58,Private,HSgrad,Married,Transport,37168.49,Male,0,40,UnitedStates,3760,1,67571,549.06,1
2062685,40,Private,College,Married,Machinist,39443.33,Male,0,40,UnitedStates,0,0,67857,320,1
2064390,35,Private,Yr11,Married,Farming,38106.16,Male,0,40,UnitedStates,0,0,68207,1,1
2065595,22,NA,HSgrad,Divorced,NA,81137.85,Female,0,40,UnitedStates,0,0,68207,1,1
2070773,23,Private,HSgrad,Absent,Sales,106275.4,Male,0,40,UnitedStates,0,0,68207,1,1
2077101,41,Private,College,Married,Machinist,12651.15,Male,0,42,UnitedStates,7298,1,68207,1,1
2094476,18,Private,HSgrad,Absent,Service,209114.75,Female,0,30,UnitedStates,0,0,68207,1,1
2101387,42,Consultant,Doctorate,Absent,Professional,74757.49,Female,0,45,UnitedStates,0,0,68207,1,1
2102127,54,Consultant,College,Married,Transport,29282.08,Male,0,30,UnitedStates,0,0,68357,19.59,1
2102378,44,Consultant,HSgrad,Married,Farming,22917.76,Male,0,40,UnitedStates,0,0,69394,1,1
2109381,44,Private,HSgrad,Married,Repair,35956.04,Male,0,41,UnitedStates,0,0,70071,227.3,1
2109898,51,Private,College,Married,Repair,42628.43,Male,0,48,UnitedStates,3103,1,70229,3.79,1
2114154,38,PSState,Bachelor,Absent,Executive,59178.12,Male,0,40,UnitedStates,0,0,70270,318.11,1
2114608,41,Private,College,Divorced,Sales,10747.59,Female,0,48,UnitedStates,0,0,70536,824.83,1
2129840,33,Consultant,HSgrad,Married,Transport,72286.49,Male,0,60,UnitedStates,0,0,70828,0.76,1
2134046,21,Private,HSgrad,Absent,Sales,162103.43,Male,0,40,UnitedStates,0,0,71033,426.4,1
2134599,37,Consultant,HSgrad,Married,Repair,41964.4,Male,0,40,UnitedStates,0,0,72327,238.9,1
2134665,41,Private,College,Married,Executive,192398.74,Male,0,40,UnitedStates,1695,1,72824,45.03,1
2137895,49,SelfEmp,College,Married,Professional,189129.57,Female,0,65,UnitedStates,5600,1,73408,16.48,1
2143793,39,Private,HSgrad,Absent,Machinist,89935.48,Male,0,40,UnitedStates,0,0,74159,76.94,1
2160461,24,Private,HSgrad,Divorced,Machinist,55642.17,Male,0,40,UnitedStates,0,0,74262,311.28,1
2161054,65,PSState,HSgrad,Married,Clerical,49027.46,Male,2174,40,UnitedStates,0,1,75033,30.14,1
2179519,55,Private,HSgrad,Married,Farming,29965.82,Male,0,45,UnitedStates,0,1,75556,29.95,1
2194621,34,Private,Bachelor,Married-spouse-absent,Clerical,81462.83,Female,0,25,UnitedStates,0,0,75581,124.53,1
2204629,33,Private,College,Married,Professional,27593.68,Male,0,40,UnitedStates,0,0,75851,99.85,1
2206284,30,Private,HSgrad,Married,Repair,29380.77,Male,1848,40,UnitedStates,5848,1,75978,99.9,1
2206428,51,Private,Vocational,Married,Executive,20300.74,Male,0,50,UnitedStates,3925,1,76575,219.8,1
2214801,50,Private,Bachelor,Divorced,Professional,133620.15,Female,0,36,Ireland,0,0,76826,254.76,1
2215657,29,Private,HSgrad,Absent,Executive,86241.61,Female,0,40,UnitedStates,0,0,76845,1,1
2242093,36,Private,Bachelor,Married,Professional,7377.51,Male,1902,50,UnitedStates,5240,1,76857,1,1
2242654,45,PSLocal,Master,Divorced,Professional,25419.27,Male,0,40,UnitedStates,0,0,76867,1,1
2243150,45,Consultant,HSgrad,Married,Executive,11373.45,Male,0,50,UnitedStates,0,0,76876,1,1
2243772,40,Private,Yr10,Absent,Service,166702.86,Female,0,40,UnitedStates,0,0,77154,129,1
2245751,27,Private,College,Married,Sales,59321.84,Male,0,50,UnitedStates,0,0,77171,1,1
